titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Give Me Liberty!,Eric Foner,2004,2000s,English,history,12,2.5,2.0
The ascent of money,Niall Ferguson,2008,2000s,English,history,17,4.0,13.0
American Odyssey,Gary B. Nash,1991,1990s,English,history,10,1.0,1.0
After the fact,James West Davidson,1981,1980s,English,history,22,4.25,8.0
Anak Semua Bangsa,Pramoedya Ananta Toer,1973,1970s,Chinese,history,13,4.5,12.0
Philippine history and government,Gregorio F. Zaide,1938,1930s,English,history,3,4.5,10.0
La dame de Monsoreau,Alexandre Dumas,1840,1840s,Russian,history,130,4.0,2.0
The Art of Seduction,Robert Greene,2001,2000s,English,history,22,3.9732144,112.0
Osman's Dream,Caroline Finkel,2005,2000s,English,history,10,5.0,1.0
Abraham Lincoln,Carl Sandburg,1926,1920s,Chinese,history,74,4.076923,26.0
Piacenza nella storia,Desconocido,1990,1990s,Italian,history,1,3.0,4.0
Killers of the Flower Moon,David Grann,2017,2010s,English,history,19,4.130435,23.0
Kleine Geschichten aus Thüringen,Desconocido,1991,1990s,German,history,1,4.25,4.0
On Tyranny,Timothy Snyder,2017,2010s,Spanish,history,21,4.2222223,27.0
"Genova, Ragusa, mare =",Desconocido,1993,1990s,Italian,history,1,3.4166667,12.0
"Götter, Gräber und Gelehrte",C. W. Ceram,1949,1940s,French,history,114,5.0,2.0
Before the Mayflower,Lerone Bennett,1960,1960s,English,history,50,3.0,2.0
The Summer I Turned Pretty Trilogy,Jenny Han,2009,2000s,Spanish,fiction,12,4.275862,87.0
The Picture of Dorian Gray,Oscar Wilde,1890,1890s,German,fiction,3012,4.1788616,123.0
Shatter Me,Tahereh Mafi,2011,2010s,English,fiction,24,3.9144385,187.0
The Silent Patient,Alex Michaelides,2018,2010s,Other,fiction,26,4.0459185,196.0
The Cruel Prince,Holly Black,2018,2010s,Other,fiction,18,4.00625,160.0
Diary of a Wimpy Kid,Jeff Kinney,2007,2000s,German,fiction,96,4.1062355,433.0
It Ends With Us,Colleen Hoover,2012,2010s,Portuguese,fiction,56,4.2003818,1048.0
The Invisible Man,H. G. Wells,0,0s,Other,fiction,563,3.8018868,106.0
"Red, White & Royal Blue",Casey McQuiston,2019,2010s,Spanish,fiction,20,4.1555557,180.0
Powerless,Lauren Roberts,2023,2020s,English,fiction,13,4.0,65.0
